#####
# Small fibers in the main bundle (fibers 1, 2 are sky)
####
90;  circle  ; 16.709154984" ; 38.129682384" ;  2.81220000000"
102;  circle  ; -16.709154984" ; 44.813344392" ;  2.81220000000"
101;  circle  ; -10.025493012" ; 44.813344392" ;  2.81220000000"
100;  circle  ; -3.341831004" ; 44.813344392" ;  2.81220000000"
99;  circle  ; 3.341831004" ; 44.813344392" ;  2.81220000000"
98;  circle  ; 10.025493012" ; 44.813344392" ;  2.81220000000"
97;  circle  ; 16.709154984" ; 44.813344392" ;  2.81220000000"
106;  circle  ; -16.709154984" ; 51.4970064" ;  2.81220000000"
108;  circle  ; -10.025493012" ; 51.4970064" ;  2.81220000000"
107;  circle  ; -3.341831004" ; 51.4970064" ;  2.81220000000"
109;  circle  ; 3.341831004" ; 51.4970064" ;  2.81220000000"
105;  circle  ; 10.025493012" ; 51.4970064" ;  2.81220000000"
104;  circle  ; 16.709154984" ; 51.4970064" ;  2.81220000000"
######
#
# End of main fiber bundle.  Sky fibers start below. 
#
#####
#
#####
# Western (right side) fiber bundle
#####
2;  circle  ; -48.154237992" ; 85.517127216" ;  0.93740000000"
18;  circle  ; -42.323609988" ; 85.517127216" ;  0.93740000000"
31;  circle  ; -48.920093784" ; 90.899678016" ;  1.40610000000"
43;  circle  ; -41.557754196" ; 90.899678016" ;  1.40610000000"
53;  circle  ; -49.730007384" ; 97.779256596" ;  1.87480000000"
63;  circle  ; -40.747840596" ; 97.779256596" ;  1.87480000000"
72;  circle  ; -45.238924008" ; 82.743360588" ;  2.34350000000"
88;  circle  ; -45.238924008" ; 88.290893808" ;  2.34350000000"
96;  circle  ; -45.238924008" ; 94.421489796" ;  2.81220000000"
110;  circle  ; -45.238924008" ; 101.136085992" ;  2.81220000000"
#####
# Eastern (left side) fiber bundle
#####
19;  circle  ; 42.323609988" ; 85.517127216" ;  0.93740000000"
1;  circle  ; 48.154237992" ; 85.517127216" ;  0.93740000000"
32;  circle  ; 41.557754196" ; 90.899678016" ;  1.40610000000"
20;  circle  ; 48.920093784" ; 90.899678016" ;  1.40610000000"
54;  circle  ; 40.747840596" ; 97.779256596" ;  1.87480000000"
44;  circle  ; 49.730007384" ; 97.779256596" ;  1.87480000000"
64;  circle  ; 45.238924008" ; 82.743360588" ;  2.34350000000"
80;  circle  ; 45.238924008" ; 88.290893808" ;  2.34350000000"
89;  circle  ; 45.238924008" ; 94.421489796" ;  2.81220000000"
103;  circle  ; 45.238924008" ; 101.136085992" ;  2.81220000000"
